question,answer
Pourquoi est-il nécessaire de réglementer l'utilisation de l'intelligence artificielle?,"Le règlement de l'UE sur l'intelligence artificielle (IA) est la première législation globale au monde en matière d'IA. Il vise à parer aux risques pour la santé, la sécurité et les droits fondamentaux. Le règlement protège également la démocratie, l'état de droit et l'environnement. Les systèmes d'IA présentent un fort potentiel en matière d'avantages sociétaux, de croissance économique, de stimulation de l'innovation dans l'UE et de renforcement de la compétitivité de l'UE à l'échelle mondiale. Dans certains cas, cependant, les caractéristiques particulières de certains systèmes d'IA peuvent être à l'origine de nouveaux risques pour la sécurité des utilisateurs, y compris leur sécurité physique, et pour les droits fondamentaux. Certains modèles d'IA très puissants dont l'utilisation est très répandue sont même susceptibles de présenter des risques systémiques. Ces risques peuvent être source d'insécurité juridique et potentiellement ralentir l'adoption des technologies de l'IA par les pouvoirs publics, les entreprises et les citoyens, du fait d'un manque de confiance. Or des réponses réglementaires disparates de la part des autorités nationales risqueraient de fragmenter le marché intérieur. Dans ce contexte, afin d'assurer le bon fonctionnement du marché intérieur des systèmes d'IA, il était nécessaire de légiférer en mettant en balance les bénéfices et les risques."
À qui s'applique le règlement sur l'intelligence artificielle?,"Le cadre juridique s'appliquera aux acteurs tant du secteur public que du secteur privé, à l'intérieur comme à l'extérieur de l'UE, dès lors que le système d'IA aura été mis sur le marché dans l'Union ou que son utilisation aura une incidence sur des personnes situées dans l'UE. Les obligations imposées peuvent peser aussi bien sur les fournisseurs (par exemple, le développeur d'un outil d'analyse de CV) que sur les déployeurs de systèmes d'IA (par exemple, une banque qui achète cet outil). Le règlement prévoit des dérogations. Les activités de recherche, de développement et de prototypage qui ont lieu avant la mise sur le marché d'un système d'IA ne sont pas soumises aux dispositions de ce règlement. Ces dernières ne s'appliquent pas non plus aux systèmes d'IA conçus exclusivement à des fins militaires, de défense ou de sécurité nationale, quel que soit le type d'entité exerçant ces activités."
Quelles sont les catégories de risques?,"Le règlement sur l'IA introduit un cadre uniforme applicable dans tous les États membres de l'UE, qui s'articule autour d'une définition prospective de l'IA et d'une approche fondée sur les risques: Risque inacceptable: un ensemble très limité d'utilisations particulièrement néfastes de l'IA qui sont contraires aux valeurs de l'UE parce qu'elles portent atteinte à des droits fondamentaux, et seront donc interdites: l'exploitation des vulnérabilités des personnes, la manipulation et le recours à des techniques subliminales; la notation sociale à des fins publiques et privées; la police prédictive ciblant les individus fondée uniquement sur le profilage des personnes; le moissonnage non ciblé d'images provenant de l'internet ou de la vidéosurveillance afin de constituer ou d'étendre des bases de données de reconnaissance faciale; la reconnaissance des émotions sur le lieu de travail et dans les établissements d'enseignement, sauf pour des raisons médicales ou de sécurité (par exemple, surveillance de l'état de fatigue d'un pilote); la catégorisation biométrique des personnes physiques afin de parvenir à des déductions ou des inférences concernant leur race, leurs opinions politiques, leur affiliation à une organisation syndicale, leurs convictions religieuses ou philosophiques ou leur orientation sexuelle. L'étiquetage ou le filtrage d'ensembles de données et la catégorisation de données dans le domaine répressif demeureront possibles; l'utilisation par les services répressifs de l'identification biométrique à distance en temps réel dans des espaces accessibles au public, sauf exceptions strictement limitées (voir ci-dessous). La Commission publiera des orientations sur les interdictions avant l'entrée en application de ces dernières le 2 février 2025. Risque élevé: un nombre limité de systèmes d'IA définis dans la proposition, qui peuvent avoir une incidence négative sur la sécurité des personnes ou sur leurs droits fondamentaux (tels que protégés par la charte des droits fondamentaux de l'UE), sont considérés comme présentant un risque élevé. Les listes des systèmes d'IA à haut risque, qui pourront être révisées pour qu'il soit tenu compte de l'évolution des cas d'utilisation de l'IA, figurent en annexe du règlement. Ces systèmes d'IA sont notamment des composants de sécurité de produits couverts par une législation sectorielle de l'Union. Ils seront toujours considérés comme étant à haut risque dès lors que, dans le cadre de cette législation sectorielle, ils sont soumis à une évaluation de la conformité par un tiers. Ces systèmes d'IA à haut risque comprennent, par exemple, ceux qui évaluent si une personne est en mesure de recevoir un traitement médical déterminé, d'obtenir un emploi précis ou de se voir accorder un prêt pour acheter un appartement. Entrent également dans la catégorie des systèmes d'IA à haut risque ceux utilisés par la police pour établir le profil de personnes ou évaluer le risque que celles-ci commettent une infraction pénale (à moins qu'ils ne soient interdits par l'article 5). Les systèmes d'IA assurant le fonctionnement de robots, de drones ou de dispositifs médicaux pourraient être aussi à haut risque. Obligations particulières de transparence: afin de renforcer la confiance, il importe de veiller à la transparence en matière d'utilisation de l'IA. C'est pourquoi le règlement sur l'IA instaure des exigences de transparence particulières pour certaines applications d'IA, notamment en cas de risque manifeste de manipulation (par exemple, du fait du recours à des chatbots) ou d'hypertrucages. Les utilisateurs devraient savoir qu'ils interagissent avec une machine. Risque minimal: la majorité des systèmes d'IA peuvent être développés et utilisés à condition de respecter la législation en vigueur et ne sont soumis à aucune obligation légale supplémentaire. Les fournisseurs de ces systèmes peuvent volontairement choisir d'appliquer les exigences relatives à une IA digne de confiance, et adhérer à des codes de conduite volontaires. En outre, le règlement sur l'IA tient compte des risques systémiques que pourraient faire peser des modèles d'IA à usage général, notamment des grands modèles d'IA générative. Ces derniers ont des applications très diverses et constituent de plus en plus souvent la base de nombreux systèmes d'IA dans l'UE. Certains de ces modèles pourraient comporter des risques systémiques s'ils sont très puissants ou si leur utilisation est très répandue. Par exemple, des modèles puissants pourraient provoquer des accidents graves ou être utilisés à mauvais escient pour lancer des cyberattaques de grande ampleur. La propagation, par un modèle, de biais préjudiciables dans de nombreuses applications pourrait avoir des conséquences négatives pour de nombreuses personnes."
Comment savoir si un système d'IA présente un risque élevé?,"Le règlement sur l'IA définit une méthode solide permettant de classer les systèmes d'IA comme étant à haut risque. L'objectif est que les entreprises et les autres opérateurs jouissent d'une sécurité juridique. La classification des risques repose sur la destination du système d'IA, conformément à la législation existante de l'UE en matière de sécurité des produits. Cela signifie que cette classification dépend de la fonction exécutée par le système d'IA, ainsi que du but précis dans lequel ce système est utilisé et des modalités de cette utilisation. Les systèmes d'IA peuvent être classés comme étant à haut risque dans deux cas: si le système d'IA est intégré comme composant de sécurité dans les produits couverts par la législation existante sur les produits (annexe I) ou s'il constitue lui-même un tel produit. Il pourrait s'agir, par exemple, de logiciels médicaux fondés sur l'IA; si le système d'IA est destiné à être utilisé pour un cas d'utilisation à haut risque mentionné à l'annexe III du règlement sur l'IA. La liste figurant à cette annexe énumère des cas d'utilisation dans des domaines tels que l'éducation, l'emploi, la répression ou la migration. La Commission élabore actuellement des lignes directrices pour la classification des systèmes d'IA comme étant à haut risque, qui seront publiées avant la date d'entrée en application de ces règles."
Quels sont les exemples de cas d'utilisation à haut risque tels que définis à l'annexe III?,"L'annexe III, composée de huit domaines dans lesquels l'utilisation de l'IA peut être particulièrement sensible, énumère des cas d'utilisation concrets pour chacun de ces domaines. Un système d'IA est classé comme étant à haut risque s'il est destiné à être utilisé dans l'un de ces cas d'utilisation. Exemples: les systèmes d'IA utilisés comme des composants de sécurité dans certaines infrastructures critiques, par exemple dans les domaines du trafic routier et de l'approvisionnement en eau, gaz, chauffage et électricité; les systèmes d'IA utilisés dans les domaines de l'éducation et de la formation professionnelle, par exemple pour évaluer les acquis d'apprentissage, orienter le processus d'apprentissage et surveiller les comportements malhonnêtes; les systèmes d'IA utilisés dans les domaines de l'emploi, de la gestion de la main- d'œuvre et de l'accès à l'emploi indépendant, par exemple pour placer des offres d'emploi ciblées, pour analyser et filtrer les candidatures et pour évaluer les candidats; les systèmes d'IA utilisés dans le domaine de l'accès aux services privés essentiels et aux services publics et prestations sociales essentiels (tels que les soins de santé), les systèmes utilisés pour évaluer la solvabilité des personnes physiques ainsi que pour évaluer les risques et déterminer la tarification en matière d'assurance-vie et d'assurance maladie; les systèmes d'IA utilisés dans les domaines répressif, migratoire et du contrôle aux frontières, pour autant qu'ils ne soient pas déjà interdits, ainsi que dans ceux de l'administration de la justice et des processus démocratiques; les systèmes d'IA utilisés pour l'identification biométrique, la catégorisation biométrique et la reconnaissance des émotions, pour autant qu'ils ne soient pas interdits."
Quelles sont les obligations des fournisseurs de systèmes d'IA à haut risque?,"Avant qu'un fournisseur puisse mettre un système d'IA à haut risque sur le marché de l'UE ou le mettre en service d'une autre manière, ce système doit faire l'objet d'une évaluation de la conformité. Le fournisseur pourra ainsi démontrer que son système est conforme aux exigences obligatoires relatives à une IA digne de confiance (par exemple, la qualité des données, la documentation et la traçabilité, la transparence, le contrôle humain, l'exactitude, la cybersécurité et la robustesse). Cette évaluation doit être répétée si le système ou sa finalité sont substantiellement modifiés. Les systèmes d'IA qui servent de composants de sécurité de produits couverts par une législation sectorielle de l'UE seront toujours réputés à haut risque dès lors qu'ils sont soumis à une évaluation de la conformité réalisée par un tiers au titre de cette législation sectorielle. En outre, tous les systèmes biométriques, quelle que soit leur application, seront soumis à une évaluation de la conformité par un tiers. Les fournisseurs de systèmes d'IA à haut risque devront également mettre en œuvre des systèmes de gestion de la qualité et des risques afin de veiller à ce qu'ils respectent les nouvelles exigences et de réduire au minimum les risques pour les utilisateurs et les personnes concernées, même après qu'un produit aura été mis sur le marché. Les systèmes d'IA à haut risque déployés par les pouvoirs publics ou par des entités agissant en leur nom devront être enregistrés dans une base de données publique de l'UE, sauf si ces systèmes sont utilisés à des fins répressives et de gestion de la migration. Dans ce dernier cas, ils devront être enregistrés dans une partie non publique de cette base de données qui ne sera accessible qu'aux autorités de contrôle concernées. Afin de veiller à la conformité tout au long du cycle de vie du système d'IA, les autorités de surveillance du marché effectueront des audits réguliers, faciliteront la surveillance après commercialisation et permettront aux fournisseurs de signaler volontairement tout incident grave ou tout manquement aux obligations en matière de droits fondamentaux qui auront été portés à leur attention. Dans des cas exceptionnels, les autorités pourront accorder des dérogations pour que certains systèmes d'IA à haut risque puissent être mis sur le marché. Ces exigences permettront aux autorités nationales de disposer, en cas d'infraction, des informations nécessaires pour déterminer si le système d'IA a été utilisé dans le respect de la législation."
Quel rôle sera dévolu à la normalisation dans le règlement sur l'IA?,"Le règlement sur l'IA imposera des exigences particulières aux systèmes d'IA à haut risque. Les normes européennes harmonisées joueront un rôle essentiel dans la mise en œuvre de ces exigences. En mai 2023, la Commission européenne a mandaté les organisations européennes de normalisation CEN et CENELEC pour élaborer des normes applicables aux exigences concernant les systèmes d'IA à haut risque. Ce mandat va maintenant être modifié pour être mis en conformité avec la version définitive du règlement sur l'IA. Les organisations européennes de normalisation auront jusqu'à la fin du mois d'avril 2025 pour élaborer et publier ces normes. Puis la Commission évaluera ces normes et les avalisera éventuellement, pour les publier au Journal officiel de l'UE. Les systèmes d'IA qui auront été développés conformément aux normes publiées bénéficieront d'une présomption de conformité."
Comment les modèles d'IA à usage général sont-ils réglementés?,"Les modèles d'IA à usage général, notamment les grands modèles d'IA générative, ont des applications très diverses. Certains modèles spécifiques peuvent être intégrés dans de nombreux systèmes d'IA. Il est essentiel que le fournisseur d'un système d'IA intégrant un modèle d'IA à usage général ait accès à toutes les informations nécessaires pour faire en sorte que son système soit sûr et respecte les obligations prévues par le règlement sur l'IA. Par conséquent, ledit règlement oblige les fournisseurs de ces modèles à mettre certaines informations à la disposition des fournisseurs de systèmes en aval. Ces obligations de transparence permettent de mieux comprendre ces modèles. Les fournisseurs de modèles doivent, de surcroît, appliquer des politiques permettant d'assurer qu'ils respectent la législation sur le droit d'auteur lorsqu'ils entraînent leurs modèles. En outre, certains de ces modèles pourraient comporter des risques systémiques en raison de leur puissance ou de la large utilisation qui en est faite. À l'heure actuelle, les modèles d'IA à usage général qui ont été entraînés à l'aide d'une puissance de calcul totale supérieure à 10^25 FLOPS sont considérés comme présentant des risques systémiques. La Commission peut mettre à jour ce seuil, ou le compléter, en fonction des progrès technologiques et peut également désigner d'autres modèles comme présentant des risques systémiques en se fondant sur d'autres critères (par exemple, le nombre d'utilisateurs ou le degré d'autonomie du modèle). Les fournisseurs de modèles présentant des risques systémiques sont tenus d'évaluer et d'atténuer les risques, de signaler les incidents graves, de procéder à des essais et à des évaluations de modèles conformément à l'état de la technique ainsi que d'assurer la cybersécurité de leurs modèles. Les fournisseurs sont invités à collaborer avec le Bureau de l'IA et d'autres parties prenantes afin d'élaborer un code de bonne pratique détaillant les règles et assurant ainsi le développement sûr et responsable de leurs modèles. Ce code devrait constituer un outil central permettant aux fournisseurs de modèles d'IA à usage général de démontrer le respect des obligations qui leur incombent."
Pourquoi le seuil de 10^25 FLOPS est-il approprié pour déterminer les systèmes d'IA à usage général présentant des risques systémiques?,"La quantité de FLOPS est un indicateur des capacités du modèle, et le seuil exact de FLOPS peut être augmenté ou abaissé par la Commission, par exemple en fonction des progrès accomplis dans la mesure objective des capacités des modèles et des évolutions de la puissance de calcul nécessaire pour atteindre un niveau de performance donné. On ne dispose pas encore d'une compréhension suffisante des capacités des modèles situés au- dessus de ce seuil. Ceux-ci pourraient présenter des risques systémiques, aussi est-il raisonnable de soumettre leurs fournisseurs à un ensemble d'obligations supplémentaires."
Quelles obligations relatives au marquage en filigrane et à l'étiquetage des sorties produites par les systèmes d'IA sont énoncées dans le règlement sur l'IA?,"Le règlement sur l'IA institue des règles de transparence pour les contenus produits par l'IA générative afin de lutter contre les risques de manipulation, de tromperie et de désinformation. Il oblige les fournisseurs de systèmes d'IA générative à marquer les sorties produites par leurs systèmes dans un format lisible par machine et à veiller à ce que celles-ci soient identifiables comme ayant été générées ou manipulées par une IA. Les solutions techniques doivent être aussi efficaces, interopérables, solides et fiables que la technologie le permet, compte tenu des spécificités et des limites des différents types de contenus, des coûts de mise en œuvre et de l'état de la technique généralement reconnu, comme cela peut ressortir des normes techniques pertinentes. En outre, les déployeurs de systèmes d'IA générative qui génèrent ou manipulent des images ou des contenus audio ou vidéo constituant des hypertrucages doivent indiquer de manière visible que ces contenus ont été générés ou manipulés par une IA. Les déployeurs d'un système d'IA qui génère ou manipule des textes publiés dans le but d'informer le public sur des questions d'intérêt public doivent également indiquer que le texte a été généré ou manipulé par une IA. Cette obligation ne s'applique pas lorsque le contenu généré par l'IA a fait l'objet d'un processus d'examen humain ou de contrôle éditorial et lorsqu'une personne physique ou morale assume la responsabilité éditoriale de la publication du contenu. Le Bureau de l'IA publiera des lignes directrices pour fournir des orientations supplémentaires aux fournisseurs et aux déployeurs sur les obligations énoncées à l'article 50, qui entreront en application deux ans après l'entrée en vigueur du règlement sur l'IA (soit le 2 août 2026). En outre, le Bureau de l'IA encouragera et facilitera l'élaboration de codes de bonne pratique au niveau de l'Union afin de rationaliser la mise en œuvre effective des obligations relatives à la détection et à l'étiquetage des contenus générés ou manipulés par l'IA. Le règlement sur l'IA est-il adapté aux évolutions futures? Le règlement sur l'IA établit un cadre juridique qui est en phase avec les nouvelles évolutions, s'adapte facilement et rapidement et permet une évaluation fréquente. Le règlement sur l'IA définit des exigences et des obligations axées sur les résultats mais, en ce qui concerne les solutions techniques et la mise en œuvre concrètes, il s'en remet à des normes et à des codes de bonne pratique dictés par l'industrie qui présentent la souplesse nécessaire pour être adaptés aux différents cas d'utilisation et pour permettre l'avènement de nouvelles solutions technologiques. En outre, le règlement lui-même peut être modifié par voie d'actes délégués et d'actes d'exécution, par exemple en vue du réexamen de la liste des cas d'utilisation à haut risque figurant à l'annexe III. Enfin, il sera procédé à des évaluations fréquentes de certaines parties du règlement sur l'IA et, à terme, de celui-ci dans son ensemble, afin de veiller à ce que toute nécessité de révision et de modifications soit mise en évidence."
Comment le règlement sur l'IA régit-il l'identification biométrique?,"Il est interdit d'utiliser, à des fins répressives, l'identification biométrique à distance en temps réel dans des espaces accessibles au public (c'est-à-dire la reconnaissance faciale par des caméras de télévision en circuit fermé). Les États membres peuvent toutefois introduire, par voie législative, des exceptions qui permettraient l'utilisation de l'identification biométrique à distance en temps réel dans les cas suivants: les activités répressives concernant 16 infractions très graves déterminées; la recherche ciblée de certaines victimes, en cas d'enlèvement, de traite et d'exploitation sexuelle d'êtres humains, et de personnes disparues; ou la prévention d'une menace pour la vie ou la sécurité physique de personnes, ou la réaction à une menace actuelle ou prévisible d'attaque terroriste. Toute utilisation exceptionnelle sera subordonnée à une autorisation préalable octroyée par une autorité judiciaire ou une autorité administrative indépendante dont la décision sera contraignante. En cas d'urgence, cette autorisation pourra être délivrée dans les 24 heures; si l'autorisation est refusée, toutes les données et les sorties devront être supprimées. Une analyse d'impact sur les droits fondamentaux devra être réalisée au préalable et être notifiée à l'autorité de surveillance du marché concernée et à l'autorité chargée de la protection des données. En cas d'urgence, il sera possible de commencer à utiliser le système sans enregistrement. L'utilisation de systèmes d'IA pour l'identification biométrique à distance a posteriori (identification de personnes dans du contenu collecté auparavant) de personnes faisant l'objet d'une enquête sera subordonnée à l'autorisation préalable d'une autorité judiciaire ou d'une autorité administrative indépendante ainsi qu'à la notification aux autorités concernées chargées, respectivement, de la protection des données et de la surveillance du marché."
